"GO.ID","Term","Annotated","Significant","Expected","weight01","Fisher","padj","Category","Lineage","Ontology"
"GO:0051276","chromosome organization",6,1,0.04,"0.035",0.035,1,"Relaxed","Coccomyxa","BP"
"GO:0006281","DNA repair",9,1,0.05,"0.053",0.053,1,"Relaxed","Coccomyxa","BP"
"GO:0006950","response to stress",12,1,0.07,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006139","nucleobase-containing compound metabolic process",55,1,0.32,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006996","organelle organization",10,1,0.06,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0016043","cellular component organization",17,1,0.1,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0090304","nucleic acid metabolic process",46,1,0.27,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0043170","macromolecule metabolic process",98,1,0.58,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006974","DNA damage response",10,1,0.06,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0071840","cellular component organization or biogenesis",18,1,0.11,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0051716","cellular response to stimulus",10,1,0.06,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006259","DNA metabolic process",17,1,0.1,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0009987","cellular process",163,1,0.96,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0050896","response to stimulus",12,1,0.07,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0033554","cellular response to stress",10,1,0.06,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0044238","primary metabolic process",125,1,0.74,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0008150","biological_process",169,1,0.99,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0008152","metabolic process",138,1,0.81,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0000375","RNA splicing, via transesterification reactions",5,0,0.03,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",5,0,0.03,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0000398","mRNA splicing, via spliceosome",5,0,0.03,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0005975","carbohydrate metabolic process",12,0,0.07,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0005996","monosaccharide metabolic process",5,0,0.03,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006082","organic acid metabolic process",13,0,0.08,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006163","purine nucleotide metabolic process",6,0,0.04,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006260","DNA replication",6,0,0.04,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006351","DNA-templated transcription",13,0,0.08,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006355","regulation of DNA-templated transcription",8,0,0.05,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006396","RNA processing",10,0,0.06,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006397","mRNA processing",7,0,0.04,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006412","translation",32,0,0.19,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006457","protein folding",7,0,0.04,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006508","proteolysis",6,0,0.04,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006520","amino acid metabolic process",12,0,0.07,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006753","nucleoside phosphate metabolic process",8,0,0.05,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006793","phosphorus metabolic process",12,0,0.07,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006796","phosphate-containing compound metabolic process",12,0,0.07,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0006810","transport",15,0,0.09,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0007049","cell cycle",7,0,0.04,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0008104","protein localization",11,0,0.06,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0008380","RNA splicing",5,0,0.03,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0008652","amino acid biosynthetic process",5,0,0.03,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0009056","catabolic process",7,0,0.04,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0009058","biosynthetic process",93,0,0.55,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0009059","macromolecule biosynthetic process",69,0,0.41,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0009117","nucleotide metabolic process",8,0,0.05,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0009150","purine ribonucleotide metabolic process",5,0,0.03,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0009165","nucleotide biosynthetic process",6,0,0.04,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0009259","ribonucleotide metabolic process",5,0,0.03,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0009889","regulation of biosynthetic process",9,0,0.05,"1.000",1,1,"Relaxed","Coccomyxa","BP"
"GO:0019752","carboxylic acid metabolic process",13,2,0.48,"0.095",0.095,1,"Relaxed","Symbiochloris","BP"
"GO:0009059","macromolecule biosynthetic process",67,2,2.45,"0.144",0.144,1,"Relaxed","Symbiochloris","BP"
"GO:0006520","amino acid metabolic process",13,2,0.48,"0.152",0.152,1,"Relaxed","Symbiochloris","BP"
"GO:0006399","tRNA metabolic process",5,1,0.18,"0.172",0.172,1,"Relaxed","Symbiochloris","BP"
"GO:0009150","purine ribonucleotide metabolic process",5,1,0.18,"0.172",0.172,1,"Relaxed","Symbiochloris","BP"
"GO:0009056","catabolic process",5,1,0.18,"0.172",0.172,1,"Relaxed","Symbiochloris","BP"
"GO:0170034","L-amino acid biosynthetic process",6,1,0.22,"0.203",0.203,1,"Relaxed","Symbiochloris","BP"
"GO:0170038","proteinogenic amino acid biosynthetic process",6,1,0.22,"0.203",0.203,1,"Relaxed","Symbiochloris","BP"
"GO:0036211","protein modification process",6,1,0.22,"0.203",0.203,1,"Relaxed","Symbiochloris","BP"
"GO:1901137","carbohydrate derivative biosynthetic process",7,1,0.26,"0.233",0.233,1,"Relaxed","Symbiochloris","BP"
"GO:0009058","biosynthetic process",92,4,3.37,"0.327",0.327,1,"Relaxed","Symbiochloris","BP"
"GO:0005975","carbohydrate metabolic process",11,1,0.4,"0.345",0.345,1,"Relaxed","Symbiochloris","BP"
"GO:0065007","biological regulation",14,1,0.51,"0.420",0.42,1,"Relaxed","Symbiochloris","BP"
"GO:0006412","translation",29,1,1.06,"0.695",0.695,1,"Relaxed","Symbiochloris","BP"
"GO:0016070","RNA metabolic process",32,1,1.17,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:1901605","alpha-amino acid metabolic process",8,1,0.29,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0072521","purine-containing compound metabolic process",7,1,0.26,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:1901607","alpha-amino acid biosynthetic process",6,1,0.22,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0006753","nucleoside phosphate metabolic process",8,1,0.29,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0043412","macromolecule modification",9,1,0.33,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0009987","cellular process",156,5,5.71,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0090304","nucleic acid metabolic process",48,1,1.76,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0006139","nucleobase-containing compound metabolic process",57,2,2.09,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0170033","L-amino acid metabolic process",8,1,0.29,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0170039","proteinogenic amino acid metabolic process",8,1,0.29,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0008652","amino acid biosynthetic process",6,1,0.22,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0043170","macromolecule metabolic process",95,2,3.48,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0009259","ribonucleotide metabolic process",5,1,0.18,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0016053","organic acid biosynthetic process",8,1,0.29,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0044238","primary metabolic process",121,4,4.43,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:1901135","carbohydrate derivative metabolic process",10,2,0.37,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0019693","ribose phosphate metabolic process",5,1,0.18,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0010467","gene expression",64,1,2.34,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0009117","nucleotide metabolic process",8,1,0.29,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0008150","biological_process",162,6,5.93,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0008152","metabolic process",134,5,4.9,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0055086","nucleobase-containing small molecule metabolic process",9,1,0.33,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0019637","organophosphate metabolic process",9,1,0.33,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0044281","small molecule metabolic process",27,2,0.99,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0043436","oxoacid metabolic process",14,2,0.51,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0044283","small molecule biosynthetic process",11,1,0.4,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0006793","phosphorus metabolic process",12,1,0.44,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0019538","protein metabolic process",48,2,1.76,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0006796","phosphate-containing compound metabolic process",12,1,0.44,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0006082","organic acid metabolic process",14,2,0.51,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0006163","purine nucleotide metabolic process",6,1,0.22,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0046394","carboxylic acid biosynthetic process",8,1,0.29,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0000375","RNA splicing, via transesterification reactions",6,0,0.22,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",6,0,0.22,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0000398","mRNA splicing, via spliceosome",6,0,0.22,"1.000",1,1,"Relaxed","Symbiochloris","BP"
"GO:0022402","cell cycle process",5,1,0.12,"0.12",0.12,1,"Strengthened","Symbiochloris","BP"
"GO:0006508","proteolysis",6,1,0.15,"0.14",0.14,1,"Strengthened","Symbiochloris","BP"
"GO:0022607","cellular component assembly",6,1,0.15,"0.14",0.14,1,"Strengthened","Symbiochloris","BP"
"GO:0045184","establishment of protein localization",8,1,0.2,"0.18",0.18,1,"Strengthened","Symbiochloris","BP"
"GO:0051604","protein maturation",8,1,0.2,"0.18",0.18,1,"Strengthened","Symbiochloris","BP"
"GO:0006996","organelle organization",9,1,0.22,"0.20",0.2,1,"Strengthened","Symbiochloris","BP"
"GO:0006974","DNA damage response",11,1,0.27,"0.24",0.24,1,"Strengthened","Symbiochloris","BP"
"GO:0005975","carbohydrate metabolic process",11,1,0.27,"0.24",0.24,1,"Strengthened","Symbiochloris","BP"
"GO:0044283","small molecule biosynthetic process",11,1,0.27,"0.24",0.24,1,"Strengthened","Symbiochloris","BP"
"GO:0050794","regulation of cellular process",12,1,0.29,"0.26",0.26,1,"Strengthened","Symbiochloris","BP"
"GO:0065007","biological regulation",14,1,0.34,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0071840","cellular component organization or biogenesis",19,1,0.46,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0010467","gene expression",64,1,1.56,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0009058","biosynthetic process",92,2,2.24,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0006950","response to stress",13,1,0.32,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0051179","localization",17,1,0.41,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0051234","establishment of localization",16,1,0.39,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0009059","macromolecule biosynthetic process",67,1,1.63,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0016043","cellular component organization",17,1,0.41,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0044238","primary metabolic process",121,2,2.95,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0070727","cellular macromolecule localization",9,1,0.22,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0050896","response to stimulus",13,1,0.32,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0019538","protein metabolic process",48,1,1.17,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0050789","regulation of biological process",12,1,0.29,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0007049","cell cycle",6,1,0.15,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0051716","cellular response to stimulus",11,1,0.27,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0009987","cellular process",156,4,3.8,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0008150","biological_process",162,4,3.95,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0008152","metabolic process",134,2,3.27,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0044281","small molecule metabolic process",27,1,0.66,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0033036","macromolecule localization",10,1,0.24,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0033554","cellular response to stress",11,1,0.27,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0043170","macromolecule metabolic process",95,1,2.32,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0051641","cellular localization",11,1,0.27,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0008104","protein localization",9,1,0.22,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0044085","cellular component biogenesis",8,1,0.2,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0000375","RNA splicing, via transesterification reactions",6,0,0.15,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",6,0,0.15,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0000398","mRNA splicing, via spliceosome",6,0,0.15,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0006082","organic acid metabolic process",14,0,0.34,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0006139","nucleobase-containing compound metabolic process",57,0,1.39,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0006163","purine nucleotide metabolic process",6,0,0.15,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0006259","DNA metabolic process",18,0,0.44,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0006260","DNA replication",6,0,0.15,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0006281","DNA repair",10,0,0.24,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0006351","DNA-templated transcription",12,0,0.29,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0006355","regulation of DNA-templated transcription",8,0,0.2,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0006396","RNA processing",13,0,0.32,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0006397","mRNA processing",8,0,0.2,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0006399","tRNA metabolic process",5,0,0.12,"1.00",1,1,"Strengthened","Symbiochloris","BP"
"GO:0006412","translation",30,1,0.19,"0.19",0.19,1,"Relaxed","Trebouxia","BP"
"GO:0019538","protein metabolic process",50,1,0.31,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0043170","macromolecule metabolic process",92,1,0.57,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0009058","biosynthetic process",88,1,0.55,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0009059","macromolecule biosynthetic process",67,1,0.42,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0009987","cellular process",154,1,0.96,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0010467","gene expression",64,1,0.4,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0044238","primary metabolic process",118,1,0.73,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0008150","biological_process",160,1,0.99,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0008152","metabolic process",130,1,0.81,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0000375","RNA splicing, via transesterification reactions",5,0,0.03,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",5,0,0.03,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0000398","mRNA splicing, via spliceosome",5,0,0.03,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0005975","carbohydrate metabolic process",11,0,0.07,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0005996","monosaccharide metabolic process",5,0,0.03,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006082","organic acid metabolic process",13,0,0.08,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006139","nucleobase-containing compound metabolic process",52,0,0.32,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006163","purine nucleotide metabolic process",6,0,0.04,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006259","DNA metabolic process",15,0,0.09,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006260","DNA replication",5,0,0.03,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006281","DNA repair",9,0,0.06,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006351","DNA-templated transcription",12,0,0.07,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006355","regulation of DNA-templated transcription",7,0,0.04,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006396","RNA processing",11,0,0.07,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006397","mRNA processing",7,0,0.04,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006457","protein folding",6,0,0.04,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006508","proteolysis",7,0,0.04,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006520","amino acid metabolic process",12,0,0.07,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006753","nucleoside phosphate metabolic process",7,0,0.04,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006793","phosphorus metabolic process",10,0,0.06,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006796","phosphate-containing compound metabolic process",10,0,0.06,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006810","transport",14,0,0.09,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006950","response to stress",12,0,0.07,"1.00",1,1,"Relaxed","Trebouxia","BP"
